"CTL_1" "CTL_2" "CTL_3" "HYPERT_1" "HYPERT_2" "HYPERT_3" "PLUS_HYPERT_1" "PLUS_HYPERT_2" "PLUS_HYPERT_3" "PROXIMAL_PLUS_HYPERT_1" "PROXIMAL_PLUS_HYPERT_2" "PROXIMAL_PLUS_HYPERT_3"
"FBgn0000008" 0.235167 0.3409384 0.2637569 0.8499876 0.7191001 1.076917 0.372985 0.528046 0.6237038 0.5146376 0.3015527 0.428785
"FBgn0000014" 0 0 0 0.00726562 0.0194319 0 0.0285114 0 0 0.00733333 0.00324455 0
"FBgn0000015" 0.00328371 0 0 0.0064327 0 0.00652222 0 0.0100185 0 0.00341655 0 0.0126276
"FBgn0000017" 4.0329609 3.705772 4.228175 10.65320054 8.5153468 10.0488882 11.3601808 8.2304847 8.7172135 7.556667 8.1625104 6.6937595
"FBgn0000018" 3.32745 4.03153 4.06889 5.58949 4.24381 5.66496 6.15357 7.11789 6.38019 5.93831 5.69458 6.09218
"FBgn0000022" 0.0743462 0 0 0 0 0.0395815 0.121758 0 0 0.0394858 0.0164863 0.0400039
"FBgn0000024" 9.2622368 7.8845129 8.2354769 0.326538 0.40495 0.3761228 0.5264532 0.534519 0.4410538 0.3238935 0.4155787 0.3514238
"FBgn0000028" 0.03297777 0.0282612 0.0504139 0.0344538764093 0.0223182 0.0331995 0.0599404185027 0.0347236 0.0575546 0.0198184 0.0358225 0.0805298
"FBgn0000032" 51.66544 64.6016 63.39457 71.7351 71.35525 78.39491 70.8905 78.11383 75.614 76.32493 58.65798 71.3171
"FBgn0000036" 0.00724436 0.00215952 0 0.00748572 0.0340175 0 0.07637104 0 0 0.00503408 0.00630337 0.0367856
"FBgn0000037" 0.0203018331854 0.00905640675776 0.005379860537081 0.01571400375858 0.109541 0.0212446182663 0.113946 0.0555762399323 0.0245604332481 0.0317191157748 0.0374859220542 0.03080070757991
"FBgn0000038" 0 0 0 0 0.1235594 0 0.255401 0 0 0 0 0
"FBgn0000039" 0 0 0 0 0.147253 0 0.3231286 0 0 0 0.0162741 0
"FBgn0000042" 1196.97 1721.8000341964 1405.5904 11595.6210712 9912.814 8186.449 13268.0274706 10014.4043795 10629.784 6584.8098475 8172.1655532 6231.328
"FBgn0000043" 207.955 329.001 314.438 1226.72 1076.15 1043.87 1258.74 779.258 877.009 669.937 797.487 579.102
"FBgn0000044" 10.3272 11.9324 9.10907 11.2018 9.96434 10.5671 12.5745 8.99578 12.075 8.74504 3.10321 17.0113
"FBgn0000045" 0.0393573 0.0526611 0.0209598 0.102405 0.0557066 0.0891276 0.181815 0.108324 0.119787 0.0413589 0.0690365 0.122791
"FBgn0000046" 1.15685 0.743367 0.577564 0.82742 0.804529 0.735547 1.193252 1.02465 1.015135 0.504313 0.447864 1.050305
"FBgn0000047" 0.498088 0.439233 0.423498 0.0394042 0.125057 0.213754 0.169782 0.0833787 0.138293 0.179033 0.193425 0.196896
"FBgn0000052" 6.20705 8.36355 5.80489 10.27847 10.68001 10.52074 15.06724 12.68425 11.14803 14.64826 14.75102 13.24547
"FBgn0000053" 3.81975 5.48093 6.07081 4.29723 5.72279 6.693122 5.60159 4.32437 3.764146 3.711641 4.40023 2.903987
"FBgn0000055" 100.2820664 180.792312 88.77986 61.6133827 80.747579 57.3648402 328.657775 259.344458 233.872161 61.0155415 75.7061521 76.752755
"FBgn0000056" 0.0255864 0.159802 0.199702 0.0921507 0.107834 0.0667542 0.289805 0.293628 0.386071 0.2368385 0.0664821 0.294792
"FBgn0000057" 11.79599 15.186 15.402463 16.51037 15.6691 17.291816 22.322629 26.23402 26.397221 25.365297 25.1098 24.509374
"FBgn0000061" 0.0821489 0 0.0174808 0 0.046452 0.0345963 0.160358 0 0 0.137851 0.129418 0.0169799
"FBgn0000063" 0.13848200145228 0.0245774 0.102505 0.0571523 0.15563 0.144826 0.156967000138347 0.090795200287991 0.100366000756941 0.245412000449109 0.114497000263103 0.240793
"FBgn0000064" 535.39206 566.171374 462.484133 479.415381 467.184877 440.974719 464.053679 513.692214 490.76533 333.502451 312.41369 357.178397
"FBgn0000071" 0.472636 0.210801 0.314635 5.699917 5.607625 3.7686139 5.2952135 3.90259 4.119234 5.344543 5.910938 8.594133
"FBgn0000075" 0.136315 0.133076 0.123457 0.103322 0.0321246 0.191982 0.0808937 0 0.0806098 0.191243 0.20312 0.102811
"FBgn0000077" 4.589159 5.66048 5.710454 13.34261 11.21274 11.24147 13.30905 11.08446 12.294521 9.73925 9.49267 9.11508
"FBgn0000078" 0 8.93113e-07 0 4.05533e-07 0.0265312 5.41787e-07 0.0479088 0.0659801 1.78673e-06 0.078934 0.06099 0.113759
"FBgn0000079" 0 0.0337856 0 0.0394034 0.0268509 0.0199655 0.121281 0.100242 0.0460952 0 0.0464295 0.0229709
"FBgn0000083" 258.976518 337.99043 337.95758 1040.80748 1008.27952 888.15001 1164.5774 741.49406 836.93294 826.3343 1016.72638 820.33973
"FBgn0000084" 28.39006 34.0184 31.13473 301.8909 294.735 271.9224 260.771 222.7254 232.7253 163.4627 192.4346 153.2777
"FBgn0000092" 0.130852 0.23341 0.41994 0.308764 0.155114 0.451722 0.748958 0.325713 0.560746 0.381182 0.20253 0.3141
"FBgn0000094" 0 0 0 0 0 0 0 0 0 0 0 0
"FBgn0000097" 0.552776 0.359234 0.6561406 9.244429 7.522479 7.757384 11.48171 5.2403456 6.262561 5.23287 6.71251 5.3145473
"FBgn0000100" 1017.5584 1309.251 1183.1532 1598.9981 1342.8467 1432.9638 1529.4037 1576.5363 1551.4128 1517.0822 1506.0402 1407.0322
"FBgn0000108" 0.1155376 0.1495391 0.0958416 0.0564498 0.8309639 0.0651321 1.40114 0.0825077 0.0546766 0.0784586 0.0305531 0.6358766
"FBgn0000109" 22.987345 32.447 34.894196 33.461224 38.29531 40.821647 27.364614 36.045619 32.70067 26.493843 18.933614 24.62546
"FBgn0000114" 0.4635749 0.7197189 0.3740897 0.24475459285 0.591362813 0.3145024 0.93520775 0.8907579 0.42037 0.1710912 0.21242613 0.2441931
"FBgn0000115" 110.516 159.56 154.275 221.041 215.887 222.352 182.181 213.75 202.232 147.865 135.063 155.722
"FBgn0000116" 61.783237 73.19510387 64.347864 273.75219 267.153405 270.265298 343.339523 329.551099 325.844772 297.592994 271.1774087 283.07085
"FBgn0000117" 70.624610540674 82.752387129841 75.4036686 142.997047 129.411562 139.710448 132.850043 130.36615 129.0871339 110.56525 109.002931 108.326109
"FBgn0000119" 4.37364 4.73795 4.33911 5.81337 5.54416 6.57319 10.857 13.4176 12.6823 10.149 8.5133 9.92082
"FBgn0000120" 0 0.0204242 0 0 0 0 0.0186628 0 0 0 0.0603712 0
"FBgn0000121" 0 0.0175009 0 0 0.0185125 0 0.0159739 0 0 0 0.0258097 0
"FBgn0000137" 0 0 0 0.0122312 0.111065 0.0123987 0.095878 0 0 0.0123469 0.00515107 0.060468
"FBgn0000139" 5.9044 8.41454 7.8317 15.2024 13.9396 14.04476 21.04382 17.23496 17.51405 17.98125 19.37947 17.38993
"FBgn0000140" 0.166661 0.0800649 0.0996257 0.0705307 0.184403 0.0491684 0.245808 0.0467792 0.0723512 0.146814 0.135461 0.25894
"FBgn0000146" 0.02017223402 0.01799614873 0.02141753446 0.04175711647 0.08534287475 0.04233174197 0.0406663 0.0442590047 0 0.177965 0.0960776 0.07208854268
"FBgn0000147" 0.36457 0.273858 0.674325 0.319436 0.398253 1.41625 1.14029 0.359054 0.280262 0.403159 0.39535 0.618015
"FBgn0000150" 1166.4252 1737.82835 1527.25645 1695.89515 1513.62413 1694.76174 1292.21832 1689.36143 1557.14476 1363.27954 1157.57349 1300.78959
"FBgn0000152" 14.6597 17.3336 16.3218 45.9909 43.9337 39.9308 50.0679 41.4916 41.5684 37.1404 41.9303 37.6039
"FBgn0000153" 0.057745 0.0643912 0.0153496 0.194732 0.0384598 0.114525 0.0704048 0.0747923 0.0496052 0.226834 0.271305 0.2972546
"FBgn0000157" 0.317972 0 0.1534343 0.0187952 0.138556 0 0.359145 0 0.0220193 0.0189714 0.0409096 0.0277755
"FBgn0000158" 0.0155698 0 0 0 0 0 0.0253203 0 0 0.0326417 0 0.0160645
"FBgn0000163" 6.62488300009722 7.18851300010803 8.2833717 20.0291950000491 15.2701240020509 18.9507820066566 27.967036 20.927612 21.3369940002192 22.4576990429681 31.708695 22.339049
"FBgn0000166" 0.126622000581562 0.1133519 0.11218722 0.20616800779743 0.120379 0.145608 0.22132 0.29557564 0.241938 0.105366 0.0559446 0.145937569791
"FBgn0000173" 85.583127 116.16533 105.96347 230.17435 208.73465 207.30162 225.46329 210.27297 219.3973 175.96978 167.40452 177.189290023053
"FBgn0000179" 0.1175702 0.0810051 0.00664784 0.07121909055761 0.197814758 0.00714865 0.5724903 0.1813766 0.0604697 0.0640473 0.059368596 0.30218711
"FBgn0000180" 0.136722 0 0.01813604 0.0883646 0.1364938 0.0537516 0.1802436 0.0655822 0.0414122 0.0713536 0.301374 0.295782
"FBgn0000181" 115.8787 185.6593 174.8839 335.2952 260.1054 313.16 268.4935 310.3351 304.953 302.2748 329.445 314.3335
"FBgn0000182" 0 0 0 0 0 0 0 0 0 0 0 0
"FBgn0000183" 13.478338 12.538699 13.505616 16.889537 15.477958 18.988119 17.168929 14.480737 16.138757 17.830629 17.547037 19.551819
"FBgn0000206" 0.00934771 0.00833938 0 0 0.0175717 0 0 0 0 0 0 0.0476553
"FBgn0000212" 22.3178840004956 28.9840990009308 29.47188 35.15381 31.1063 41.39041 38.872 40.0853 39.015955 48.37909 49.62637 50.96838
"FBgn0000216" 0 0 0 0 0.633083 0 0.814283 0 0 0.0894585 0.186979 0.283518
"FBgn0000221" 3.27943 3.88779 3.11142 6.61185 5.79297 5.94057 7.48 6.22272 6.83032 5.74154 6.1944 5.58282
"FBgn0000227" 0 0 0 0 0 0 0 0 0 0 0 0
"FBgn0000228" 8.776408 7.56270501779229 6.864821 13.47856 12.4492380008306 13.485485 14.273807 13.1914410230657 12.849307680793 10.768632768757 10.117087165 9.792650197152
"FBgn0000229" 9.787462 11.638309 12.32257 27.212798 26.914089 30.47634407 25.034662 22.150818 24.275245 22.108069 17.2010600044113 24.466536
"FBgn0000233" 0.144286 0.0171629 0.0408454 0 0.0271256 0.0100904 0.0390322 0.0105506 0.0116597 0 0.00419116 0
"FBgn0000239" 17.6105 23.211878 20.196505 35.222905 34.528747 40.189498 36.36731 33.373308 33.488277 31.456193 30.280076 32.732766
"FBgn0000241" 0.377995 0.409843 0.292527 0.261369 0.23704 0.396907 0.698979 0.379188 0.305699 0.216724 0.125594 0.105712
"FBgn0000244" 20.9537 19.55963 19.77018 38.096886 31.3687954 33.940501 47.4525844 38.421776 39.047632 34.993929 30.975443 35.77093
"FBgn0000246" 1.1871967883824 1.24544162253 1.44767063781838 1.74167166307614 1.60244153132617 1.29244456767 1.7136219462506 2.48502539428 2.1065398392493 1.26399234374509 1.2032448933 1.98258130564
"FBgn0000247" 4.68048 4.84413 4.1526 9.07984 7.70538 9.64955 8.95854 9.07501 8.92019 7.37943 6.79169 7.24781
"FBgn0000250" 41.652674 58.133005 61.528453 82.8363581 64.062819 85.493109 89.066735 83.238949 79.013234 178.532354 149.768957 189.242812
"FBgn0000251" 0.0122533 0.0872864 0 0.0253488 0.117595 0.0128536 0.0461705 0.0374741 0.0304842 0.0255889 0.0106859 0.0815598
"FBgn0000253" 283.3149243 374.768787 350.513704 557.7053946 558.6069181 573.0602922 571.142697 491.7949759 518.63338 557.774414 632.517519 621.732209
"FBgn0000256" 0.5216085 0.9638521 0.4796179 2.787638 2.4765895 1.5410137 3.3739107 2.7749144 2.6768725 1.502667 1.9529535 1.731037
