"CTL_1" "CTL_2" "CTL_3" "HYPERT_1" "HYPERT_2" "HYPERT_3" "PLUS_HYPERT_1" "PLUS_HYPERT_2" "PLUS_HYPERT_3" "PROXIMAL_PLUS_HYPERT_1" "PROXIMAL_PLUS_HYPERT_2" "PROXIMAL_PLUS_HYPERT_3"
"FBgn0000008" 40 65.99995 41.99998 142.00039 129 177.0002 78.99999 83 87.00006 85.99996 119.9998 74
"FBgn0000014" 0 0 0 1 4 0 5 0 0 1 1.06067 0
"FBgn0000015" 1 0 0 1 0 1 0 1 0 1 0 2
"FBgn0000017" 1100.45402 1129.356 1134.74984 2643.604167 2278.05085 2376.62144 3636.70635 1929.61078 1838.67129 1822.74845 4605.068 1768.92415
"FBgn0000018" 201 273 231 325 272 325 457 391 317 342 786 356
"FBgn0000024" 1378.997 1310.0028 1153.9971 54.00002 69 54.99998 106 72 54.00007 46.00001 131 54.00001
"FBgn0000032" 3400.002 4764.996 3922.996 4549.997 4989.004 4907.999 5745.004 4681.998 4096.005 4798.003 8842.997 4559.001
"FBgn0000036" 1 1 0 1 8.00001 0 35.000006 0 0 2 2.999998 5
"FBgn0000037" 3.99999660813 2.00000150829 1.000000100898 3.000000725234 23 4.00000347602 28 9.99999726191 3.99999547279 6.00000301589 17.0000101087 6.00000149247
"FBgn0000038" 0 0 0 0 9.999998 0 27 0 0 0 0 0
"FBgn0000039" 0 0 0 0 13 0 32.99998 0 0 0 3 0
"FBgn0000043" 11227.1 19912 15944.2 63676.1 61599.2 53467 83495.3 38230 38911.1 34442.2 98254.2 30130.2
"FBgn0000044" 596.214 772.255 494.122 622.215 610.195 579.157 892.289 472.144 573.197 481.123 409.159 948.654
"FBgn0000045" 2.00003 3.00003 1 5.00001 3.00004 4.2943 12.0001 5.00002 5.00001 2.00001 8.00012 6.00006
"FBgn0000046" 59.8485 43.1125 28.0562 41.1368 44.1151 36.086 76.26194 48.1556 45.1439 25.06068 52.8479 54.2833
"FBgn0000047" 26.301 26.0005 21.0003 2.00002 7.00015 10.7059 11.0135 4.00017 6.00008 9.00008 23.3019 10.0116
"FBgn0000052" 969 1467.999 858.001 1554.947 1780 1572.972 2905.934 1812.995 1439 2203.999 5320.936 2048.457
"FBgn0000053" 440.0001 647 561 519.9995 727 621.0002 873 410 369.9996 431.0005 1243.995 364.9999
"FBgn0000055" 3251.17506 6572.2182 2691.0005 1903.65879 2754.83422 1749.46673 13009.5206 7596.932 6190.3232 1867.28962 5553.1417 2344.5585
