"human_adipose" "human_adrenal" "human_brain" "human_heart" "human_kidney" "human_liver" "human_lung" "human_ovary" "human_pancreas" "human_sigmoid_colon" "human_small_bowel" "human_spleen" "human_testis" "mouse_adipose" "mouse_adrenal" "mouse_brain" "mouse_heart" "mouse_kidney" "mouse_liver" "mouse_lung" "mouse_ovary" "mouse_pancreas" "mouse_sigmoid_colon" "mouse_small_bowel" "mouse_spleen" "mouse_testis"
"A1BG" 24.39992 43.2455 2.11422 26.06956 3.69099 330.5074 5.03488 57.9069 15.93551 26.9787 60.8625 13.01618 24.5653 2 1 0 1 0 397.00007 1 2 0 0 0 0 26.00003
"A1CF" 30.127053104626 29.2422000829754 0 17.068560138591 340.30979 12859.6751 1 22.073255 599.9994894 211.5626 16680.51464 5.0000000169029 19.1403 48 0 0 3.0000007 3944.00111 4683.99901 0 0 83.00008 1876.00141 4492.99587 0 240.0003
"A2M" 23588.97111 43981.9537 3954.00228 28587.94738 6166.99957 217713.16977 48268.95649 78822.03132 3657.99777 10868.95428 80.99998 5176.00194 7273.79721 5 298 81 4 18 1 17 55 0 2 0 43.00001 206
"A4GALT" 82.87381 217.8499 3 166.96812 9 7.74366 3 109.8976 11.326715 14.06005 5.70847 5 13.32154 62.24253 14.1934 7.02336 4.170897 56.8221 3.12365 145.617 70.0856 26.6587 110.022 10.0325 443.24972 16.8563
"AAAS" 392.99959 2274.998273 15.999991312 598.00014 63.00004 355.999940949869 83.99992 1136.99985 334.99982 610.999886786 365.99977 69.00002 414.0000618334 100.00002 30.00001 27.999996 10.99999 36.000018 36.00001 18 47.000001 82.99995 46.99996 29 857.99998 213.99994
"AACS" 2066.75095 2514.26181 232.03943 293.15656 90.05739 95.79481 62.00396 849.90752 193.73083 150.80401 329.14564 29.238407 561.31688 199.02345 141 64.00446 7 78 132.00712 193 56 39.21952 194.06571 57.00813 273.50828 66.36619
"AADAC" 4 20357.03 0 4 1.999999 6038.995 91.99996 1240 403.0002 6.999998 12751.02 2.000003 9 83.99998 2 0 10.999989 6887.9951 16704.0031 4 17.00002 6 2402.00468 10030.255 1 11
"AADAT" 81.16354 330.7328 128.02033 126.722463529 66.9999429 1489.3812 107.068 311.7882 127.4341 344.0339 5.009649076 44.147925 213.77593 13 1 8 7 91675 5233.0046 1 3 0 2 17 0 29
"AAGAB" 397.99969 3781.00393 854 867.00019 687 572.0001 1095.9991 1208.99977 388.0003 902.0001 2056.9973 586.9998 1015.99944 447.9998 346.00038 527 66.99998 373 351.99978 354.9998 425.00028 74 683.9996 370 1511.9995 736.0002
"AAK1" 1525.65212 6626.39447 1376.19201 5396.7933 698.074263 567.21895 524.325558 3346.44398 760.38475 1562.984317 3422.54881 670.02067 933.32102 1506.37609 2866.09693 8744.19521 1116.99533 2134.61327 538.56806 611.34151 3213.10933 324.96337 2268.39917 1666.92229 5059.51276 2816.80008
"AAMDC" 123.36491 2036.51864 73.633 802.68312 103.06852 111.05809 241.00887 686.51717 92.4003 226.00027 149.67055 36.751977 166.69201 224.00012 67.99993 121.9999362 69.99994914995 218.00009 109.000047 144.99998 72.999961 23.00003 153.00003 338.999547507 220.00002 316.999880018322
"AAMP" 799.0001 3232.99744 44 388.00042 54 232.000172 72.99999 1346.9991 188.00013 127.99999 86.99996 53 334.9996 237.00001 94.00001 45.99998 22.00004 104.00003 187 112 79.00003 174.0001 80 54.00001 1183.0004 858.9996
"AAR2" 331.60995 2337.1578 114 333.99965 84 221.13349 234 1965.0654 179.99967 316.26787 149.19814 89.00001 481.2595 84 124.00006 169.000212 53 112.000215 107.00004 166.00033 133.9997 46.00004 103 76.99996 497.000192 261.00019
"AARD" 1.38047 105.243 3.01459 5.80633 26.246 3.823028 196.845 20.7517 7.26384 386.849 1.25812 5.50598 1492.63841 79 2 50 2 3 36 703 261 5 30 25 1 5592
