"Sample_ID" "species" "tissue"
"human_adipose" "human_adipose" "human" "adipose"
"human_adrenal" "human_adrenal" "human" "adrenal"
"human_brain" "human_brain" "human" "brain"
"human_heart" "human_heart" "human" "heart"
"human_kidney" "human_kidney" "human" "kidney"
"human_liver" "human_liver" "human" "liver"
"human_lung" "human_lung" "human" "lung"
"human_ovary" "human_ovary" "human" "ovary"
"human_pancreas" "human_pancreas" "human" "pancreas"
"human_sigmoid_colon" "human_sigmoid_colon" "human" "sigmoid_colon"
"human_small_bowel" "human_small_bowel" "human" "small_bowel"
"human_spleen" "human_spleen" "human" "spleen"
"human_testis" "human_testis" "human" "testis"
"mouse_adipose" "mouse_adipose" "mouse" "adipose"
"mouse_adrenal" "mouse_adrenal" "mouse" "adrenal"
"mouse_brain" "mouse_brain" "mouse" "brain"
"mouse_heart" "mouse_heart" "mouse" "heart"
"mouse_kidney" "mouse_kidney" "mouse" "kidney"
"mouse_liver" "mouse_liver" "mouse" "liver"
"mouse_lung" "mouse_lung" "mouse" "lung"
"mouse_ovary" "mouse_ovary" "mouse" "ovary"
"mouse_pancreas" "mouse_pancreas" "mouse" "pancreas"
"mouse_sigmoid_colon" "mouse_sigmoid_colon" "mouse" "sigmoid_colon"
"mouse_small_bowel" "mouse_small_bowel" "mouse" "small_bowel"
"mouse_spleen" "mouse_spleen" "mouse" "spleen"
"mouse_testis" "mouse_testis" "mouse" "testis"
