"flybase_gene_id" "start_position" "end_position" "chromosome_name" "gene_biotype"
"FBgn0000008" "FBgn0000008" 22136968 22172834 "2R" "protein_coding"
"FBgn0000014" "FBgn0000014" 16807214 16830049 "3R" "protein_coding"
"FBgn0000015" "FBgn0000015" 16927212 16972236 "3R" "protein_coding"
"FBgn0000017" "FBgn0000017" 16615866 16647882 "3L" "protein_coding"
"FBgn0000018" "FBgn0000018" 10973443 10975293 "2L" "protein_coding"
"FBgn0000022" "FBgn0000022" 370031 370947 "X" "protein_coding"
"FBgn0000024" "FBgn0000024" 13222951 13259517 "3R" "protein_coding"
"FBgn0000028" "FBgn0000028" 15350239 15379064 "X" "protein_coding"
"FBgn0000032" "FBgn0000032" 29991144 29993411 "3R" "protein_coding"
"FBgn0000036" "FBgn0000036" 24393896 24457157 "3R" "protein_coding"
"FBgn0000037" "FBgn0000037" 24378630 24390294 "2R" "protein_coding"
"FBgn0000038" "FBgn0000038" 4429349 4435993 "3L" "protein_coding"
"FBgn0000039" "FBgn0000039" 24485428 24491147 "3R" "protein_coding"
"FBgn0000042" "FBgn0000042" 5900861 5905399 "X" "protein_coding"
"FBgn0000043" "FBgn0000043" 6013910 6015689 "2R" "protein_coding"
"FBgn0000044" "FBgn0000044" 20944021 20946431 "2R" "protein_coding"
"FBgn0000045" "FBgn0000045" 21985210 21987190 "3L" "protein_coding"
"FBgn0000046" "FBgn0000046" 13425983 13428375 "3R" "protein_coding"
"FBgn0000047" "FBgn0000047" 15439969 15442177 "3R" "protein_coding"
"FBgn0000052" "FBgn0000052" 6041181 6046050 "2L" "protein_coding"
"FBgn0000053" "FBgn0000053" 7014623 7023898 "2L" "protein_coding"
"FBgn0000055" "FBgn0000055" 14615552 14618902 "2L" "protein_coding"
"FBgn0000056" "FBgn0000056" 14615552 14618902 "2L" "protein_coding"
"FBgn0000057" "FBgn0000057" 18151704 18154060 "2R" "protein_coding"
"FBgn0000061" "FBgn0000061" 378112 387439 "2L" "protein_coding"
"FBgn0000063" "FBgn0000063" 17671271 17673828 "3R" "protein_coding"
"FBgn0000064" "FBgn0000064" 26254069 26261591 "3R" "protein_coding"
"FBgn0000071" "FBgn0000071" 6762593 6765261 "3R" "protein_coding"
"FBgn0000075" "FBgn0000075" 19110154 19114110 "2L" "protein_coding"
"FBgn0000077" "FBgn0000077" 9245915 9247336 "X" "protein_coding"
"FBgn0000078" "FBgn0000078" 17124764 17126369 "2R" "protein_coding"
"FBgn0000079" "FBgn0000079" 17118636 17120303 "2R" "protein_coding"
"FBgn0000083" "FBgn0000083" 21065241 21070917 "3R" "protein_coding"
"FBgn0000084" "FBgn0000084" 20171445 20173514 "X" "protein_coding"
"FBgn0000092" "FBgn0000092" 2692732 2693886 "X" "protein_coding"
"FBgn0000094" "FBgn0000094" 30209948 30210382 "3R" "protein_coding"
"FBgn0000097" "FBgn0000097" 2156484 2178754 "2L" "protein_coding"
"FBgn0000100" "FBgn0000100" 22075867 22077487 "3L" "protein_coding"
"FBgn0000108" "FBgn0000108" 530501 579044 "X" "protein_coding"
"FBgn0000109" "FBgn0000109" 1883795 1885019 "3L" "protein_coding"
"FBgn0000114" "FBgn0000114" 12175004 12313438 "2L" "protein_coding"
"FBgn0000115" "FBgn0000115" 15983135 15984362 "3L" "protein_coding"
"FBgn0000116" "FBgn0000116" 9048781 9066027 "3L" "protein_coding"
"FBgn0000117" "FBgn0000117" 1891401 1900646 "X" "protein_coding"
"FBgn0000119" "FBgn0000119" 13453640 13483229 "2R" "protein_coding"
"FBgn0000120" "FBgn0000120" 18078269 18081307 "2L" "protein_coding"
"FBgn0000121" "FBgn0000121" 8647261 8648936 "3L" "protein_coding"
"FBgn0000137" "FBgn0000137" 460747 463176 "X" "protein_coding"
"FBgn0000139" "FBgn0000139" 24650125 24653376 "3R" "protein_coding"
"FBgn0000140" "FBgn0000140" 24753849 24760513 "3R" "protein_coding"
"FBgn0000146" "FBgn0000146" 10997819 11001476 "2L" "protein_coding"
"FBgn0000147" "FBgn0000147" 11963124 11964826 "3R" "protein_coding"
"FBgn0000150" "FBgn0000150" 31745172 31746077 "3R" "protein_coding"
"FBgn0000152" "FBgn0000152" 16680089 16683895 "X" "protein_coding"
"FBgn0000153" "FBgn0000153" 13821248 13823979 "2L" "protein_coding"
"FBgn0000157" "FBgn0000157" 24814822 24835667 "2R" "protein_coding"
"FBgn0000158" "FBgn0000158" 25243039 25245109 "3R" "protein_coding"
"FBgn0000163" "FBgn0000163" 17160006 17200728 "X" "protein_coding"
"FBgn0000166" "FBgn0000166" 6755842 6759466 "3R" "protein_coding"
"FBgn0000173" "FBgn0000173" 13996345 13999805 "X" "protein_coding"
"FBgn0000179" "FBgn0000179" 4412856 4485647 "X" "protein_coding"
"FBgn0000180" "FBgn0000180" 9984645 9995538 "2L" "protein_coding"
"FBgn0000181" "FBgn0000181" 12870249 12871794 "2R" "protein_coding"
"FBgn0000182" "FBgn0000182" 16042047 16048757 "2L" "protein_coding"
"FBgn0000183" "FBgn0000183" 17459605 17473215 "2L" "protein_coding"
"FBgn0000206" "FBgn0000206" 25961994 25966948 "3R" "protein_coding"
"FBgn0000212" "FBgn0000212" 15970082 15982869 "3L" "protein_coding"
"FBgn0000216" "FBgn0000216" 14972667 14973198 "3L" "protein_coding"
"FBgn0000221" "FBgn0000221" 4104342 4105791 "X" "protein_coding"
"FBgn0000227" "FBgn0000227" 4683052 4684461 "2L" "protein_coding"
"FBgn0000228" "FBgn0000228" 5271728 5278548 "2L" "protein_coding"
"FBgn0000229" "FBgn0000229" 10247502 10250501 "2L" "protein_coding"
"FBgn0000233" "FBgn0000233" 9694186 9697558 "X" "protein_coding"
"FBgn0000239" "FBgn0000239" 21174182 21179683 "2L" "protein_coding"
"FBgn0000241" "FBgn0000241" 23527805 23538499 "2R" "protein_coding"
"FBgn0000244" "FBgn0000244" 9528238 9533011 "3R" "protein_coding"
"FBgn0000246" "FBgn0000246" 15789473 15792579 "3R" "protein_coding"
"FBgn0000247" "FBgn0000247" 29806811 29815047 "3R" "protein_coding"
"FBgn0000250" "FBgn0000250" 16313036 16326207 "2L" "protein_coding"
"FBgn0000251" "FBgn0000251" 20770731 20783135 "2L" "protein_coding"
"FBgn0000253" "FBgn0000253" 12259398 12278809 "2R" "protein_coding"
"FBgn0000256" "FBgn0000256" 3872646 3902860 "2L" "protein_coding"
"FBgn0000257" "FBgn0000257" 19566019 19569401 "X" "protein_coding"
"FBgn0000259" "FBgn0000259" 11792533 11801587 "X" "protein_coding"
"FBgn0000261" "FBgn0000261" 18822604 18828188 "3L" "protein_coding"
"FBgn0000273" "FBgn0000273" 9682315 9699297 "2L" "protein_coding"
"FBgn0000274" "FBgn0000274" 30695537 30697138 "3R" "protein_coding"
"FBgn0000276" "FBgn0000276" 30210874 30211273 "3R" "protein_coding"
"FBgn0000277" "FBgn0000277" 30212156 30212568 "3R" "protein_coding"
"FBgn0000278" "FBgn0000278" 30213315 30213797 "3R" "protein_coding"
"FBgn0000279" "FBgn0000279" 30216484 30216938 "3R" "protein_coding"
"FBgn0000280" "FBgn0000280" 30211527 30211753 "3R" "pseudogene"
"FBgn0000281" "FBgn0000281" 30212903 30213142 "3R" "pseudogene"
"FBgn0000283" "FBgn0000283" 15270432 15275241 "3R" "protein_coding"
"FBgn0000286" "FBgn0000286" 4876891 4883107 "2L" "protein_coding"
"FBgn0000287" "FBgn0000287" 11358873 11373636 "2L" "protein_coding"
"FBgn0000289" "FBgn0000289" 14173693 14182838 "2R" "protein_coding"
"FBgn0000299" "FBgn0000299" 5029609 5037279 "2L" "protein_coding"
"FBgn0000303" "FBgn0000303" 18705501 18732344 "3R" "protein_coding"
"FBgn0000307" "FBgn0000307" 16342430 16352628 "2L" "protein_coding"
"FBgn0000308" "FBgn0000308" 5972115 5981018 "2L" "protein_coding"
"FBgn0000316" "FBgn0000316" 255674 258469 "X" "protein_coding"
"FBgn0000317" "FBgn0000317" 15044963 15057862 "2L" "protein_coding"
"FBgn0000318" "FBgn0000318" 5520135 5521382 "2L" "protein_coding"
"FBgn0000319" "FBgn0000319" 15827986 15835490 "X" "protein_coding"
