"flybase_gene_id" "start_position" "end_position" "chromosome_name" "gene_biotype"
"FBgn0000017" "FBgn0000017" 16615866 16647882 "3L" "protein_coding"
"FBgn0000018" "FBgn0000018" 10973443 10975293 "2L" "protein_coding"
"FBgn0000024" "FBgn0000024" 13222951 13259517 "3R" "protein_coding"
"FBgn0000032" "FBgn0000032" 29991144 29993411 "3R" "protein_coding"
"FBgn0000043" "FBgn0000043" 6013910 6015689 "2R" "protein_coding"
"FBgn0000044" "FBgn0000044" 20944021 20946431 "2R" "protein_coding"
"FBgn0000046" "FBgn0000046" 13425983 13428375 "3R" "protein_coding"
"FBgn0000052" "FBgn0000052" 6041181 6046050 "2L" "protein_coding"
"FBgn0000053" "FBgn0000053" 7014623 7023898 "2L" "protein_coding"
"FBgn0000055" "FBgn0000055" 14615552 14618902 "2L" "protein_coding"
"FBgn0000057" "FBgn0000057" 18151704 18154060 "2R" "protein_coding"
"FBgn0000064" "FBgn0000064" 26254069 26261591 "3R" "protein_coding"
"FBgn0000071" "FBgn0000071" 6762593 6765261 "3R" "protein_coding"
"FBgn0000083" "FBgn0000083" 21065241 21070917 "3R" "protein_coding"
"FBgn0000097" "FBgn0000097" 2156484 2178754 "2L" "protein_coding"
"FBgn0000100" "FBgn0000100" 22075867 22077487 "3L" "protein_coding"
"FBgn0000109" "FBgn0000109" 1883795 1885019 "3L" "protein_coding"
"FBgn0000115" "FBgn0000115" 15983135 15984362 "3L" "protein_coding"
"FBgn0000116" "FBgn0000116" 9048781 9066027 "3L" "protein_coding"
"FBgn0000119" "FBgn0000119" 13453640 13483229 "2R" "protein_coding"
"FBgn0000139" "FBgn0000139" 24650125 24653376 "3R" "protein_coding"
"FBgn0000150" "FBgn0000150" 31745172 31746077 "3R" "protein_coding"
"FBgn0000181" "FBgn0000181" 12870249 12871794 "2R" "protein_coding"
"FBgn0000183" "FBgn0000183" 17459605 17473215 "2L" "protein_coding"
"FBgn0000212" "FBgn0000212" 15970082 15982869 "3L" "protein_coding"
"FBgn0000228" "FBgn0000228" 5271728 5278548 "2L" "protein_coding"
"FBgn0000229" "FBgn0000229" 10247502 10250501 "2L" "protein_coding"
"FBgn0000239" "FBgn0000239" 21174182 21179683 "2L" "protein_coding"
"FBgn0000244" "FBgn0000244" 9528238 9533011 "3R" "protein_coding"
"FBgn0000246" "FBgn0000246" 15789473 15792579 "3R" "protein_coding"
"FBgn0000247" "FBgn0000247" 29806811 29815047 "3R" "protein_coding"
"FBgn0000250" "FBgn0000250" 16313036 16326207 "2L" "protein_coding"
"FBgn0000253" "FBgn0000253" 12259398 12278809 "2R" "protein_coding"
"FBgn0000256" "FBgn0000256" 3872646 3902860 "2L" "protein_coding"
"FBgn0000261" "FBgn0000261" 18822604 18828188 "3L" "protein_coding"
"FBgn0000273" "FBgn0000273" 9682315 9699297 "2L" "protein_coding"
"FBgn0000276" "FBgn0000276" 30210874 30211273 "3R" "protein_coding"
"FBgn0000277" "FBgn0000277" 30212156 30212568 "3R" "protein_coding"
"FBgn0000278" "FBgn0000278" 30213315 30213797 "3R" "protein_coding"
"FBgn0000279" "FBgn0000279" 30216484 30216938 "3R" "protein_coding"
"FBgn0000283" "FBgn0000283" 15270432 15275241 "3R" "protein_coding"
"FBgn0000286" "FBgn0000286" 4876891 4883107 "2L" "protein_coding"
"FBgn0000289" "FBgn0000289" 14173693 14182838 "2R" "protein_coding"
"FBgn0000299" "FBgn0000299" 5029609 5037279 "2L" "protein_coding"
"FBgn0000307" "FBgn0000307" 16342430 16352628 "2L" "protein_coding"
"FBgn0000308" "FBgn0000308" 5972115 5981018 "2L" "protein_coding"
"FBgn0000317" "FBgn0000317" 15044963 15057862 "2L" "protein_coding"
"FBgn0000318" "FBgn0000318" 5520135 5521382 "2L" "protein_coding"
"FBgn0000326" "FBgn0000326" 21617061 21619079 "2R" "protein_coding"
"FBgn0000339" "FBgn0000339" 16309292 16310726 "2L" "protein_coding"
"FBgn0000352" "FBgn0000352" 7382176 7387115 "2R" "protein_coding"
"FBgn0000357" "FBgn0000357" 8726791 8727613 "3L" "protein_coding"
"FBgn0000370" "FBgn0000370" 21310866 21319527 "2L" "protein_coding"
"FBgn0000384" "FBgn0000384" 22981816 22992951 "2L" "protein_coding"
"FBgn0000395" "FBgn0000395" 21355015 21379464 "2R" "protein_coding"
"FBgn0000404" "FBgn0000404" 11826719 11833578 "3L" "protein_coding"
"FBgn0000406" "FBgn0000406" 16788774 16790721 "2L" "protein_coding"
"FBgn0000411" "FBgn0000411" 14175610 14178620 "3L" "protein_coding"
"FBgn0000412" "FBgn0000412" 9238083 9240654 "3R" "protein_coding"
"FBgn0000414" "FBgn0000414" 16712126 16724575 "3L" "protein_coding"
"FBgn0000416" "FBgn0000416" 30883464 30889062 "3R" "protein_coding"
"FBgn0000426" "FBgn0000426" 12183844 12184310 "2R" "protein_coding"
"FBgn0000447" "FBgn0000447" 8651391 8652916 "3R" "protein_coding"
"FBgn0000454" "FBgn0000454" 13782288 13785676 "3R" "protein_coding"
"FBgn0000455" "FBgn0000455" 12411809 12413759 "3R" "protein_coding"
"FBgn0000464" "FBgn0000464" 19586623 19732069 "2L" "protein_coding"
"FBgn0000477" "FBgn0000477" 18019375 18021161 "3R" "protein_coding"
"FBgn0000490" "FBgn0000490" 2428372 2459823 "2L" "protein_coding"
